size_bytes,extension,file_age_days,days_since_modified,modification_count,recent_activity_count,is_duplicate,duplicate_count,folder_type,importance_label
4760,.pdf,0,693,0,0,1,3,DESKTOP,LOW
5503,.pdf,0,693,0,0,1,3,DESKTOP,LOW
81445,.pdf,0,693,0,0,1,3,DESKTOP,LOW
82140,.pdf,0,693,0,0,1,5,DESKTOP,LOW
82140,.pdf,0,693,0,0,1,5,DESKTOP,LOW
5025,.pdf,0,693,0,0,1,2,DESKTOP,LOW
85011,.pdf,0,693,0,0,1,2,DESKTOP,LOW
291519,.png,0,922,0,0,0,0,DESKTOP,LOW
5312156,.jpg,0,855,0,0,0,0,DESKTOP,LOW
4783040,.jpg,0,856,0,0,0,0,DESKTOP,LOW
173729,.pdf,0,832,0,0,1,6,DESKTOP,LOW
173729,.pdf,0,832,0,0,1,6,DESKTOP,LOW
173729,.pdf,0,832,0,0,1,6,DESKTOP,LOW
96528,.pdf,0,693,0,0,1,3,DESKTOP,LOW
26105,.docx,0,711,0,0,0,0,DESKTOP,LOW
4832,.pdf,0,711,0,0,1,6,DESKTOP,LOW
4832,.pdf,0,711,0,0,1,6,DESKTOP,LOW
4832,.pdf,0,711,0,0,1,6,DESKTOP,LOW
7477,.pdf,0,693,0,0,1,3,DESKTOP,LOW
4174,.pdf,0,693,0,0,1,3,DESKTOP,LOW
212202,.png,0,704,0,0,0,0,DESKTOP,LOW
40880,.pptm,0,678,0,0,1,2,DESKTOP,LOW
40880,.pptm,0,679,0,0,1,2,DESKTOP,LOW
126784,.png,0,704,0,0,0,0,DESKTOP,LOW
928449,.pdf,0,673,0,0,1,2,DESKTOP,LOW
317680,.pdf,0,673,0,0,1,2,DESKTOP,LOW
822314,.pdf,0,673,0,0,1,2,DESKTOP,LOW
950369,.pdf,0,673,0,0,1,2,DESKTOP,LOW
465191,.pdf,0,673,0,0,1,2,DESKTOP,LOW
343344,.pdf,0,681,0,0,1,4,DESKTOP,LOW
599380,.pdf,0,684,0,0,1,3,DESKTOP,LOW
2008279,.pdf,0,792,0,0,1,2,DESKTOP,LOW
2583187,.pdf,0,792,0,0,1,2,DESKTOP,LOW
73575,.pdf,0,792,0,0,1,2,DESKTOP,LOW
537400,.pdf,0,792,0,0,1,2,DESKTOP,LOW
1726522,.pdf,0,792,0,0,1,2,DESKTOP,LOW
6222747,.zip,0,707,0,0,0,0,DESKTOP,LOW
47015,.docx,0,711,0,0,1,3,DESKTOP,LOW
47015,.docx,0,711,0,0,1,3,DESKTOP,LOW
47015,.docx,0,711,0,0,1,3,DESKTOP,LOW
2843508,.pdf,0,792,0,0,0,0,DESKTOP,LOW
2054162,.xlsx,0,884,0,0,1,2,DESKTOP,LOW
1187772,.zip,0,707,0,0,0,0,DESKTOP,LOW
29302,.docx,0,693,0,0,1,3,DESKTOP,LOW
29137,.docx,0,693,0,0,1,2,DESKTOP,LOW
28812,.docx,0,693,0,0,1,2,DESKTOP,LOW
28812,.docx,0,693,0,0,1,2,DESKTOP,LOW
29137,.docx,0,693,0,0,1,2,DESKTOP,LOW
29302,.docx,0,693,0,0,1,3,DESKTOP,LOW
29302,.docx,0,693,0,0,1,3,DESKTOP,LOW
18346,.docx,0,725,0,0,0,0,DESKTOP,LOW
2122433953,.zip,0,691,0,0,0,0,DESKTOP,LOW
2119088364,.zip,0,691,0,0,0,0,DESKTOP,LOW
2125533628,.zip,0,691,0,0,0,0,DESKTOP,LOW
2093769884,.zip,0,691,0,0,0,0,DESKTOP,LOW
2102587760,.zip,0,691,0,0,0,0,DESKTOP,LOW
2099532716,.zip,0,691,0,0,0,0,DESKTOP,LOW
1697326835,.zip,0,691,0,0,0,0,DESKTOP,LOW
833,.c,0,812,0,0,0,0,DESKTOP,LOW
5005388,.pdf,0,886,0,0,0,0,DESKTOP,LOW
6583396,.pptx,0,706,0,0,1,2,DESKTOP,LOW
10485760,.zip,0,240,0,0,0,0,DESKTOP,LOW
2126984,.exe,0,727,0,0,0,0,DESKTOP,LOW
2108517,.pptx,0,679,0,0,1,6,DESKTOP,LOW
2108517,.pptx,0,679,0,0,1,6,DESKTOP,LOW
2108517,.pptx,0,679,0,0,1,6,DESKTOP,LOW
2181230,.pptx,0,679,0,0,1,2,DESKTOP,LOW
2189372,.pptx,0,679,0,0,1,2,DESKTOP,LOW
335777,.pptx,0,704,0,0,1,2,DESKTOP,LOW
25439,.docx,0,832,0,0,0,0,DESKTOP,LOW
26650,.docx,0,832,0,0,0,0,DESKTOP,LOW
26634,.docx,0,832,0,0,0,0,DESKTOP,LOW
21844,.docx,0,832,0,0,0,0,DESKTOP,LOW
42070,.docx,0,832,0,0,0,0,DESKTOP,LOW
41661,.docx,0,832,0,0,0,0,DESKTOP,LOW
3111760,.pdf,0,879,0,0,1,2,DESKTOP,LOW
5020952,.zip,0,707,0,0,0,0,DESKTOP,LOW
8504901,.zip,0,952,0,0,0,0,DESKTOP,LOW
1241979,.zip,0,669,0,0,0,0,DESKTOP,LOW
34096067,.pdf,0,686,0,0,1,2,DESKTOP,LOW
186557368,.exe,0,826,0,0,0,0,DESKTOP,LOW
63761,.pdf,0,693,0,0,1,4,DESKTOP,LOW
19142,.docx,0,693,0,0,0,0,DESKTOP,LOW
63761,.pdf,0,693,0,0,1,4,DESKTOP,LOW
304656,.pdf,0,686,0,0,1,2,DESKTOP,LOW
83985,.pdf,0,673,0,0,1,2,DESKTOP,LOW
374488,.pdf,0,684,0,0,1,5,DESKTOP,LOW
374488,.pdf,0,684,0,0,1,5,DESKTOP,LOW
30799,.docx,0,693,0,0,1,4,DESKTOP,LOW
30178,.docx,0,693,0,0,1,3,DESKTOP,LOW
30178,.docx,0,693,0,0,1,3,DESKTOP,LOW
30178,.docx,0,693,0,0,1,3,DESKTOP,LOW
30799,.docx,0,679,0,0,1,4,DESKTOP,LOW
30799,.docx,0,679,0,0,1,4,DESKTOP,LOW
30799,.docx,0,693,0,0,1,4,DESKTOP,LOW
486,.js,0,875,0,0,0,0,DESKTOP,LOW
1342332,.zip,0,669,0,0,0,0,DESKTOP,LOW
7375402,.zip,0,668,0,0,0,0,DESKTOP,LOW
1860552163,.zip,0,691,0,0,0,0,DESKTOP,LOW
1970733992,.zip,0,691,0,0,0,0,DESKTOP,LOW
995629008,.zip,0,691,0,0,0,0,DESKTOP,LOW
