size_bytes,extension,file_age_days,days_since_modified,modification_count,recent_activity_count,is_duplicate,duplicate_count,folder_type,importance_label
33,[no_extension],102,102,0,0,0,0,DOWNLOADS,HIGH
84,.yaml,223,225,0,0,1,2,DESKTOP,HIGH
2711512,.pptx,29,29,0,0,0,0,DESKTOP,MEDIUM
516444,.pdf,30,30,0,0,0,0,DESKTOP,LOW
2586194,.pptx,30,30,1,1,0,0,DOWNLOADS,MEDIUM
0,.py,349,349,0,0,1,212,DOWNLOADS,HIGH
682778,.pack,280,280,0,0,0,0,DESKTOP,HIGH
9730273,.pack,280,280,0,0,0,0,DESKTOP,HIGH
154279,.pack,280,280,0,0,0,0,DESKTOP,HIGH
1108620,.pack,280,280,0,0,1,2,DESKTOP,HIGH
2472998,.jpg,163,182,0,0,0,0,PICTURES,LOW
1556906,.jpg,141,153,0,0,0,0,PICTURES,LOW
2131172,.jpg,134,153,0,0,0,0,PICTURES,LOW
1264906,.jpg,91,103,0,0,0,0,PICTURES,LOW
471879,.pdf,161,161,0,0,0,0,DOWNLOADS,MEDIUM
769954,.download,279,279,0,0,0,0,DESKTOP,HIGH
15650809,.json,310,310,0,0,1,2,DESKTOP,HIGH
2497,.lnk,393,205,0,0,0,0,DESKTOP,HIGH
2118197,.download,279,279,0,0,0,0,DESKTOP,HIGH
51453,.pdf,159,159,0,0,1,2,DOWNLOADS,HIGH
3758061,.download,279,279,0,0,0,0,DESKTOP,HIGH
13086,.jpeg,279,279,0,0,0,0,DOWNLOADS,MEDIUM
48814,.pdf,108,108,0,0,0,0,DESKTOP,HIGH
90890,.jpeg,159,159,0,0,0,0,DESKTOP,HIGH
217325,.jpg,393,393,0,0,0,0,DESKTOP,LOW
1085,.py,192,182,0,0,0,0,DESKTOP,HIGH
290414,.cts,375,375,0,0,1,2,DESKTOP,HIGH
6003,.snap,193,193,0,0,0,0,DESKTOP,LOW
41267781,.mp4,359,359,0,0,0,0,VIDEOS,LOW
1605693,.pdf,176,176,0,0,0,0,DESKTOP,HIGH
609,.jst,204,203,0,0,1,7,DESKTOP,HIGH
1199641816,.exe,176,176,0,0,0,0,DOWNLOADS,HIGH
4495,.js,223,223,0,0,0,0,DESKTOP,HIGH
307,.jsx,204,203,0,0,1,4,DESKTOP,HIGH
4078,.py,139,136,0,0,0,0,DESKTOP,HIGH
4829,.py,102,102,0,0,0,0,DOWNLOADS,HIGH
2009488,.pdf,116,116,0,0,1,2,DOWNLOADS,LOW
1464071,.pptx,116,111,1,1,0,0,DOWNLOADS,LOW
2009488,.pdf,116,116,0,0,1,2,DOWNLOADS,LOW
1010,.zip,162,162,0,0,0,0,DOWNLOADS,MEDIUM
206626,.jpeg,394,394,0,0,0,0,DESKTOP,LOW
200300,.mjs,383,383,0,0,1,8,DESKTOP,HIGH
4784877,.docx,92,92,0,0,0,0,DOWNLOADS,HIGH
1509169,.cjs,231,231,0,0,0,0,DESKTOP,HIGH
372498,[no_extension],222,222,0,0,1,2,DESKTOP,MEDIUM
372498,[no_extension],222,222,0,0,1,2,DOWNLOADS,MEDIUM
1375,.sh,383,383,0,0,1,8,DESKTOP,HIGH
1375,.sh,223,225,0,0,1,8,DESKTOP,HIGH
1375,.sh,378,378,0,0,1,8,DESKTOP,HIGH
1115,.csv,339,339,0,0,0,0,DOWNLOADS,HIGH
1103,.csv,339,339,0,0,0,0,DOWNLOADS,HIGH
8350,.cc,193,193,0,0,0,0,DESKTOP,HIGH
88608,.node,193,193,0,0,0,0,DESKTOP,HIGH
4176784,.pdf,290,290,0,0,0,0,DOWNLOADS,LOW
1605763,.pdf,290,290,0,0,0,0,DOWNLOADS,LOW
852401,.pdf,290,290,0,0,0,0,DOWNLOADS,LOW
2064227,.pdf,305,305,0,0,0,0,DOWNLOADS,LOW
351477,.pdf,290,290,0,0,0,0,DOWNLOADS,LOW
1138862,.pdf,290,290,0,0,0,0,DOWNLOADS,LOW
5693089,.pdf,87,87,0,0,0,0,DOWNLOADS,LOW
1096479,.pdf,87,87,0,0,0,0,DOWNLOADS,LOW
